=== Intel RKD digits								
								
4	0.032552	64	91.903175	0.038821	0.009717	0.004931	0.003301	0.002466
4	0.0025	128	96.577629	0.076202	0.019258	0.009755	0.006481	0.00489
4	0.00252	192	98.163605	0.114809	0.029023	0.014659	0.009755	0.007362
4	0.002494	256	98.720093	0.155068	0.039247	0.019691	0.013193	0.009951
4	0.002503	320	99.081802	0.194222	0.049205	0.024743	0.016512	0.012497
4	0.00249	384	99.220924	0.23473	0.059468	0.029816	0.019999	0.015143
4	0.002492	448	99.360046	0.276075	0.07006	0.034776	0.023518	0.017767
4	0.002506	512	99.387863	0.31677	0.077662	0.03894	0.026067	0.020399
4	0.00251	576	99.471344	0.35857	0.085098	0.044171	0.030438	0.022887
4	0.002535	640	99.526993	0.392111	0.093439	0.047087	0.032505	0.025456
4	0.002485	704	99.526993	0.431531	0.100903	0.054036	0.037266	0.02808
4	0.002476	768	99.526993	0.469551	0.114119	0.057308	0.039553	0.030713
4	0.002467	832	99.526993	0.508802	0.124499	0.06455	0.043089	0.033491
4	0.002511	896	99.526993	0.538993	0.132667	0.068785	0.047488	0.035957
4	0.002513	960	99.526993	0.576797	0.139915	0.073944	0.05103	0.038624
4	0.002513	1024	99.526993	0.614931	0.148029	0.076699	0.054624	0.041338
8	0.062558	64	94.407341	0.049002	0.012366	0.006278	0.004229	0.003221
8	0.005039	128	97.857544	0.096732	0.024541	0.01231	0.008303	0.006226
8	0.004975	192	98.608795	0.147821	0.037628	0.018865	0.012619	0.009504
8	0.00504	256	99.081802	0.200839	0.051096	0.025759	0.01727	0.013006
8	0.004917	320	99.526993	0.254325	0.064874	0.032483	0.021719	0.016465
8	0.005012	384	99.582634	0.308671	0.077548	0.037089	0.026542	0.020044
8	0.00494	448	99.610458	0.364559	0.087007	0.045229	0.031245	0.023778
8	0.004993	512	99.610458	0.416725	0.10331	0.050783	0.035342	0.027534
8	0.00498	576	99.638283	0.466334	0.111884	0.059084	0.03983	0.031034
8	0.004938	640	99.638283	0.514438	0.12381	0.063716	0.04551	0.034587
