=== AMD SCF har

2	8	1.264669	0	0	91.869440	50.152695	2.467730	0.333816	0.207037	0.188975	0.180221	0.170002	0.156309	0.147435	0.137127	
2	16	2.361628	0	0	93.290109	69.087204	2.114664	0.288012	0.175023	0.157112	0.146780	0.134339	0.124651	0.117567	0.112808	
2	24	3.465774	0	0	93.980207	77.129288	1.944854	0.262760	0.139370	0.106475	0.096566	0.089010	0.084021	0.082773	0.080587	
2	32	4.564381	0	0	94.476272	79.911774	1.838377	0.247657	0.137185	0.114320	0.107412	0.100837	0.094334	0.089299	0.086126	
4	8	1.310262	0	0	93.743241	60.637939	2.019885	0.281074	0.165499	0.144800	0.136295	0.122853	0.114974	0.109457	0.103372	
4	16	2.459929	0	0	95.150977	75.704102	1.660204	0.228309	0.134210	0.115230	0.102612	0.094653	0.088805	0.084714	0.082397	
4	24	3.604148	0	0	95.729621	78.571426	1.534155	0.212091	0.110982	0.081545	0.068639	0.061636	0.058710	0.056818	0.055258	
4	32	4.731519	0	0	95.989563	83.729210	1.493685	0.203998	0.108329	0.082205	0.071151	0.063966	0.060464	0.056284	0.055010	
8	8	1.484083	0	0	95.172471	63.725822	1.771866	0.240830	0.130813	0.102394	0.090019	0.082554	0.078009	0.074311	0.072144	
8	16	2.697534	0	0	96.611565	77.078384	1.413073	0.191406	0.101044	0.073930	0.062313	0.055789	0.051394	0.049218	0.046567	
8	24	3.909106	0	0	97.205085	80.827965	1.280977	0.170798	0.089117	0.059631	0.046010	0.037959	0.033708	0.030862	0.029160	
8	32	5.138081	0	0	97.446842	83.881912	1.259203	0.168978	0.086281	0.059926	0.046988	0.039917	0.035882	0.033971	0.032376	
12	8	1.510079	0	0	93.648268	77.298943	2.319004	0.311036	0.180716	0.153116	0.141349	0.127061	0.120399	0.112840	0.107844	
12	16	2.606726	0	0	95.235569	86.901932	1.917665	0.257844	0.140139	0.106364	0.096380	0.087940	0.083263	0.077268	0.076286	
12	24	3.682262	0	0	95.863511	90.244316	1.784713	0.241352	0.128741	0.097839	0.083707	0.073910	0.068862	0.065904	0.063602	
12	32	4.738220	0	0	96.195366	92.059723	1.732730	0.231213	0.120560	0.083780	0.066366	0.056787	0.051426	0.048080	0.046028	
16	8	1.499556	0	0	96.545102	66.253815	1.650689	0.223940	0.114084	0.080471	0.064815	0.055146	0.049956	0.047136	0.045250	
16	16	2.617606	0	0	97.635780	77.129288	1.394756	0.187285	0.095171	0.065643	0.050207	0.041737	0.037069	0.034272	0.031852	
16	24	3.714993	0	0	98.073528	81.913811	1.320001	0.177911	0.089364	0.060613	0.047173	0.038140	0.033446	0.030360	0.027783	
16	32	4.820438	0	0	98.324881	82.914825	1.292910	0.173753	0.088574	0.058685	0.044648	0.036000	0.030326	0.026552	0.023865	
20	8	1.525912	0	0	97.272262	65.659996	1.570959	0.210557	0.107379	0.072774	0.056869	0.047295	0.041381	0.038474	0.036057	
20	16	2.671774	0	0	97.982807	77.214119	1.421403	0.191829	0.097835	0.066476	0.050798	0.042581	0.037255	0.034249	0.031855	
20	24	3.805111	0	0	98.349805	79.877838	1.372202	0.182205	0.092191	0.062550	0.047241	0.037999	0.032855	0.028892	0.025945	
20	32	4.886456	0	0	98.540474	82.032570	1.367670	0.181044	0.091022	0.061247	0.046560	0.038121	0.032474	0.028635	0.025869	
24	8	1.584218	0	0	95.832873	81.642349	2.131990	0.284771	0.145640	0.104205	0.085209	0.074791	0.068948	0.065283	0.063331	
24	16	2.738380	0	0	96.931610	88.445877	1.862887	0.251580	0.128456	0.088979	0.069046	0.058402	0.052437	0.048140	0.045320	
24	24	3.795583	0	0	97.313525	91.974892	1.808774	0.238406	0.121033	0.081608	0.061819	0.050419	0.043632	0.038571	0.034837	
24	32	4.865529	0	0	97.506649	93.179504	1.805756	0.236137	0.121309	0.081939	0.061970	0.051180	0.044648	0.039956	0.036868	
28	8	1.635526	0	0	97.653088	71.072273	2.099672	0.263935	0.130360	0.087781	0.067205	0.058194	0.052209	0.047963	0.043972	
28	16	2.728470	0	0	98.348032	79.809975	2.123654	0.248244	0.124971	0.082968	0.061979	0.052321	0.047278	0.042293	0.038667	
28	24	3.903009	0	0	98.610329	82.405838	2.230535	0.250595	0.122480	0.081911	0.061497	0.052310	0.046368	0.041847	0.038553	
28	32	4.939319	0	0	98.753241	84.204277	2.066043	0.244547	0.120456	0.079921	0.060780	0.051868	0.045849	0.041501	0.038152	
32	8	1.517387	0	0	96.186066	81.218185	2.985986	0.385001	0.196080	0.133635	0.101726	0.083685	0.072542	0.065220	0.060348	
32	16	2.700858	0	0	97.172716	89.904991	2.768731	0.359988	0.182002	0.123307	0.094338	0.076500	0.065489	0.058704	0.053285	
32	24	3.804216	0	0	97.541611	92.449951	2.728866	0.351861	0.177391	0.120183	0.091675	0.073994	0.063156	0.056009	0.050501	
32	32	4.959834	0	0	97.773921	93.858162	2.708824	0.351895	0.176003	0.119008	0.089946	0.072018	0.061077	0.053162	0.047119	
36	8	1.626515	0	0	96.555367	83.864944	3.076677	0.397125	0.202001	0.137733	0.104311	0.085168	0.073015	0.065055	0.059751	
36	16	2.811841	0	0	97.355562	92.670509	2.913820	0.377512	0.190940	0.129096	0.097659	0.078556	0.067022	0.058484	0.052576	
36	24	4.000490	0	0	97.730997	93.892090	2.884136	0.371544	0.186940	0.126394	0.095828	0.076856	0.065275	0.056905	0.051028	
36	32	5.031469	0	0	97.939943	95.079742	2.873334	0.369471	0.186763	0.126074	0.094553	0.075883	0.064010	0.055347	0.049351	
